Value,Rob. Std err,Rob. t-test,Rob. p-value,x
0.28733656481973047,0.10438530729446151,2.752653340466585,0.005911445521013192,IPES_SCORE_n
0.9943690416762625,0.22047031548305676,4.510217348297305,6.476123816323565e-06,cnt_intersections_n
-0.0038680687379315736,0.0009825734664653408,-3.9366712718656705,8.261966008782373e-05,dist2stop_n
2.838699434833784,0.31104949749058713,9.126198427373083,0.0,dist2tahoe_n
-1.2023536187245312,0.21628991822138915,-5.558990583619487,2.7133933544476463e-08,is_towncenter
0.4278487727702863,0.12930926133713866,3.308724899872309,0.0009372187761180761,isbailey3
0.4521634391975973,0.07793448190440795,5.801840573627052,6.559091048075061e-09,isbailey4p
0.6009244986270196,0.09169432924882123,6.553562292782077,5.618039367050187e-11,job_density_n
10.142419515839576,0.20448549316007075,49.59970195978702,0.0,lval_per_sqft_n
-0.9881611626125364,0.1979885660465546,-4.991001159027448,6.006713724193702e-07,mix_entropy
-3.652635420808193,0.34612257245522526,-10.553011307231923,0.0,neighbors_FAR
1.3338710272973375,0.24666926998375183,5.40752817481156,6.390049311910673e-08,neighbors_age_n
2.151473850390416,0.1464403582376648,14.691809527662382,0.0,neighbors_per_built
-0.004593307994374,0.06695774759105472,-0.06860009721993168,0.9453079414805332,pop_density_n
