Value,Rob. Std err,Rob. t-test,Rob. p-value,x
0.28733656481973047,0.10438530729446151,2.752653340466585,0.005911445521013192,IPES_SCORE_n
-4.6830439388193685,1.9491483785506782,-2.402610283728899,0.016278525270392974,cnt_intersections_n
0.038193118627845926,0.018675891761895016,2.0450492600183354,0.04085000189389776,dist2stop_n
1.3518702830808909,3.327762938048489,0.4062399600716969,0.6845662955865466,dist2tahoe_n
4.910893624499064,1.0372585253515205,4.734493382770503,2.196029355916451e-06,is_towncenter
0.4278487727702863,0.12930926133713866,3.308724899872309,0.0009372187761180761,isbailey3
0.4521634391975973,0.07793448190440795,5.801840573627052,6.559091048075061e-09,isbailey4p
0.24293789283715433,0.4824957246176512,0.5035026849816503,0.614610893072961,job_density_n
-1.7905549218503176,1.4955932716435723,-1.1972204982458896,0.23122062226561635,lval_per_sqft_n
1.3249997996867728,1.944827489434937,0.6812942571434688,0.4956853163864441,mix_entropy
-1.0724311009002574,2.4202559255458875,-0.4431064870374694,0.6576887132662166,neighbors_FAR
2.9504328070176857,1.0150089032798466,2.9068048541089753,0.0036514091058899023,neighbors_age_n
0.38576518066841076,1.0981639209776486,0.3512819655602785,0.7253768233159521,neighbors_per_built
0.2801551462250794,0.2974326193602318,0.9419113035674578,0.3462380524420561,pop_density_n
