Value,Rob. Std err,Rob. t-test,Rob. p-value,x
0.28733656481973047,0.10438530729446151,2.752653340466585,0.005911445521013192,IPES_SCORE_n
-0.8935616543654461,1.3377995630066628,-0.6679338811841097,0.5041757989004654,cnt_intersections_n
-0.011784938014720098,0.005025893691707862,-2.344844268028166,0.01903502835276072,dist2stop_n
-14.503269372751925,8.397814952372924,-1.727028930144956,0.0841624679251467,dist2tahoe_n
3.0381686521446936,0.5141127751945108,5.90953735976552,3.4306986140819618e-09,is_towncenter
0.4278487727702863,0.12930926133713866,3.308724899872309,0.0009372187761180761,isbailey3
0.4521634391975973,0.07793448190440795,5.801840573627052,6.559091048075061e-09,isbailey4p
-0.6052949264851307,0.42647646257927846,-1.4192926916162727,0.1558137019391035,job_density_n
-1.3106356762192766,0.9986411685967406,-1.312419032414757,0.18937878866003133,lval_per_sqft_n
-1.1504218499421712,1.371929273582385,-0.8385431174146368,0.4017257422940763,mix_entropy
3.3977281575993,0.8446558156196207,4.022618556301305,5.755466684598254e-05,neighbors_FAR
-0.5987107125356769,0.7757884687875376,-0.7717447946492275,0.4402655942685936,neighbors_age_n
-3.0915288046454195,0.500099103037671,-6.1818323325657785,6.336180469190822e-10,neighbors_per_built
0.8166006793889279,0.2981164208742129,2.7392006015444683,0.006158878189838735,pop_density_n
